Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-nl,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-pl,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-pt,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-pt-rPT,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-ro,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-ru,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-sk,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-sl,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-sr,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-sv,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-sw,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-sw600dp-v13,1,18,13,0,0,5,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-th,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-tl,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-tr,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-uk,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-v11,1,76,59,0,0,17,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-v14,1,243,168,0,0,75,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-vi,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-w360dp-v13,1,10,6,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-w480dp-v13,1,12,8,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-w500dp-v13,1,10,6,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-w600dp-v13,1,19,14,0,0,5,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-w720dp-v13,1,10,6,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-w820dp-v13,1,10,6,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-xlarge-v4,1,26,19,0,0,7,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-zh-rCN,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-zh-rHK,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-zh-rTW,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-zu,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src,23,1750,1258,663,96,389,15,103,692,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src\androidTest,1,13,8,6,0,2,0,3,6,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src\androidTest\java,1,13,8,6,0,2,0,3,6,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src\androidTest\java\com,1,13,8,6,0,2,0,3,6,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src\androidTest\java\com\psyngo,1,13,8,6,0,2,0,3,6,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src\androidTest\java\com\psyngo\michael,1,13,8,6,0,2,0,3,6,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src\androidTest\java\com\psyngo\michael\symondstimetableplus,1,13,8,6,0,2,0,3,6,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src\main,22,1737,1250,657,96,387,15,100,686,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src\main\java,6,1253,856,657,96,297,15,100,686,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src\main\java\com,6,1253,856,657,96,297,15,100,686,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src\main\java\com\psyngo,6,1253,856,657,96,297,15,100,686,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src\main\java\com\psyngo\michael,6,1253,856,657,96,297,15,100,686,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src\main\java\com\psyngo\michael\symondstimetableplus,6,1253,856,657,96,297,15,100,686,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src\main\res,15,454,369,0,0,85,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src\main\res\layout,8,349,289,0,0,60,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src\main\res\menu,3,34,30,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src\main\res\values,3,64,44,0,0,20,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\src\main\res\values-w820dp,1,7,6,0,0,1,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\build,1,36,33,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\build\intermediates,1,36,33,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\build\intermediates\dex-cache,1,36,33,0,0,3,0,0,0,0,0
